name,league,rank,prev_rank,off,def,spi
trabzonspor,turkish turkcell super lig,146.000,146.000,1.700,1.400,51.900
cagliari,italy serie a,147.000,147.000,1.400,1.100,51.800
strasbourg,french ligue 1,148.000,149.000,1.500,1.200,51.800
rijeka,uefa europa league,149.000,150.000,1.400,1.100,51.700
nimes,french ligue 2,150.000,151.000,1.500,1.200,51.500
fc astana,uefa europa league,151.000,152.000,1.600,1.300,51.300
wolverhampton,english league championship,152.000,153.000,1.300,1.100,51.300
spal,italy serie a,153.000,154.000,1.300,1.100,51.300
ca independiente,argentina primera division,154.000,155.000,1.200,0.900,51.200
ural sverdlovsk oblast,russian premier liga,155.000,156.000,1.200,1.000,51.200
fc arsenal tula,russian premier liga,156.000,157.000,1.500,1.300,50.700
vitesse,dutch eredivisie,157.000,158.000,1.800,1.600,50.600
tigres uanl,mexican primera division torneo apertura,158.000,159.000,1.300,1.100,50.600
osasuna,spanish segunda division,159.000,160.000,1.100,0.800,50.500
steaua bucuresti,uefa europa league,160.000,162.000,1.300,1.100,50.400
ludogorets,uefa europa league,161.000,163.000,1.400,1.200,50.300
sd huesca,spanish segunda division,162.000,139.000,1.300,1.100,50.300
lille,french ligue 1,163.000,164.000,1.500,1.300,50.300
real zaragoza,spanish segunda division,164.000,169.000,1.400,1.200,50.300
talleres de crdoba,argentina primera division,165.000,166.000,1.200,1.000,50.100
kasimpasa,turkish turkcell super lig,166.000,167.000,1.700,1.500,49.900
union santa fe,argentina primera division,167.000,168.000,1.200,1.000,49.800
toluca,mexican primera division torneo apertura,168.000,170.000,1.400,1.200,49.700
santos laguna,mexican primera division torneo apertura,169.000,171.000,1.500,1.400,49.700
aston villa,english league championship,170.000,165.000,1.300,1.100,49.600
velez sarsfield,argentina primera division,171.000,172.000,1.300,1.100,49.600
amiens,french ligue 1,172.000,173.000,1.200,1.000,49.600
djurgardens if,swedish allsvenskan,173.000,229.000,1.400,1.200,49.600
huddersfield town,barclays premier league,174.000,175.000,1.200,1.000,49.200
swansea city,barclays premier league,175.000,176.000,1.300,1.100,49.200
fc luzern,swiss raiffeisen super league,176.000,178.000,1.400,1.300,49.000
real valladolid,spanish segunda division,177.000,174.000,1.500,1.400,48.700
fluminense,brasileiro srie a,178.000,189.000,1.300,1.200,48.600
club amrica,mexican primera division torneo apertura,179.000,180.000,1.300,1.200,48.500
fc zurich,swiss raiffeisen super league,180.000,181.000,1.500,1.300,48.500
